    0.10000E-03    0.50867E+03
    0.10202E-03    0.51865E+03
    0.10408E-03    0.52883E+03
    0.10618E-03    0.53920E+03
    0.10833E-03    0.54978E+03
    0.11052E-03    0.56056E+03
    0.11275E-03    0.57156E+03
    0.11503E-03    0.58277E+03
    0.11735E-03    0.59420E+03
    0.11972E-03    0.60586E+03
    0.12214E-03    0.61774E+03
    0.12461E-03    0.62986E+03
    0.12712E-03    0.64221E+03
    0.12969E-03    0.65480E+03
    0.13231E-03    0.66764E+03
    0.13499E-03    0.68074E+03
    0.13771E-03    0.69408E+03
    0.14049E-03    0.70769E+03
    0.14333E-03    0.72157E+03
    0.14623E-03    0.73572E+03
    0.14918E-03    0.75014E+03
    0.15220E-03    0.76485E+03
    0.15527E-03    0.77984E+03
    0.15841E-03    0.79512E+03
    0.16161E-03    0.81071E+03
    0.16487E-03    0.82660E+03
    0.16820E-03    0.84280E+03
    0.17160E-03    0.85932E+03
    0.17507E-03    0.87615E+03
    0.17860E-03    0.89332E+03
    0.18221E-03    0.91083E+03
    0.18589E-03    0.92867E+03
    0.18965E-03    0.94686E+03
    0.19348E-03    0.96541E+03
    0.19739E-03    0.98432E+03
    0.20138E-03    0.10036E+04
    0.20544E-03    0.10232E+04
    0.20959E-03    0.10433E+04
    0.21383E-03    0.10637E+04
    0.21815E-03    0.10845E+04
    0.22255E-03    0.11058E+04
    0.22705E-03    0.11274E+04
    0.23164E-03    0.11495E+04
    0.23632E-03    0.11720E+04
    0.24109E-03    0.11949E+04
    0.24596E-03    0.12183E+04
    0.25093E-03    0.12421E+04
    0.25600E-03    0.12664E+04
    0.26117E-03    0.12912E+04
    0.26645E-03    0.13164E+04
    0.27183E-03    0.13421E+04
    0.27732E-03    0.13684E+04
    0.28292E-03    0.13951E+04
    0.28864E-03    0.14224E+04
    0.29447E-03    0.14502E+04
    0.30042E-03    0.14785E+04
    0.30649E-03    0.15074E+04
    0.31268E-03    0.15368E+04
    0.31899E-03    0.15668E+04
    0.32544E-03    0.15974E+04
    0.33201E-03    0.16285E+04
    0.33872E-03    0.16603E+04
    0.34556E-03    0.16927E+04
    0.35254E-03    0.17257E+04
    0.35966E-03    0.17593E+04
    0.36693E-03    0.17936E+04
    0.37434E-03    0.18286E+04
    0.38190E-03    0.18642E+04
    0.38962E-03    0.19005E+04
    0.39749E-03    0.19375E+04
    0.40552E-03    0.19752E+04
    0.41371E-03    0.20136E+04
    0.42207E-03    0.20527E+04
    0.43060E-03    0.20926E+04
    0.43929E-03    0.21333E+04
    0.44817E-03    0.21748E+04
    0.45722E-03    0.22170E+04
    0.46646E-03    0.22600E+04
    0.47588E-03    0.23039E+04
    0.48550E-03    0.23485E+04
    0.49530E-03    0.23941E+04
    0.50531E-03    0.24405E+04
    0.51552E-03    0.24877E+04
    0.52593E-03    0.25359E+04
    0.53656E-03    0.25849E+04
    0.54739E-03    0.26349E+04
    0.55845E-03    0.26859E+04
    0.56973E-03    0.27378E+04
    0.58124E-03    0.27906E+04
    0.59299E-03    0.28445E+04
    0.60496E-03    0.28993E+04
    0.61719E-03    0.29552E+04
    0.62965E-03    0.30121E+04
    0.64237E-03    0.30701E+04
    0.65535E-03    0.31292E+04
    0.66859E-03    0.31893E+04
    0.68210E-03    0.32506E+04
    0.69588E-03    0.33130E+04
    0.70993E-03    0.33765E+04
    0.72427E-03    0.34412E+04
    0.73891E-03    0.35071E+04
    0.75383E-03    0.35743E+04
    0.76906E-03    0.36426E+04
    0.78460E-03    0.37122E+04
    0.80045E-03    0.37831E+04
    0.81662E-03    0.38552E+04
    0.83311E-03    0.39287E+04
    0.84994E-03    0.40035E+04
    0.86711E-03    0.40796E+04
    0.88463E-03    0.41571E+04
    0.90250E-03    0.42360E+04
    0.92073E-03    0.43163E+04
    0.93933E-03    0.43980E+04
    0.95831E-03    0.44812E+04
    0.97767E-03    0.45659E+04
    0.99742E-03    0.46521E+04
    0.10176E-02    0.47398E+04
    0.10381E-02    0.48290E+04
    0.10591E-02    0.49198E+04
    0.10805E-02    0.50122E+04
    0.11023E-02    0.51062E+04
    0.11246E-02    0.52019E+04
    0.11473E-02    0.52992E+04
    0.11705E-02    0.53982E+04
    0.11941E-02    0.54988E+04
    0.12182E-02    0.56012E+04
    0.12429E-02    0.57053E+04
    0.12680E-02    0.58112E+04
    0.12936E-02    0.59189E+04
    0.13197E-02    0.60284E+04
    0.13464E-02    0.61397E+04
    0.13736E-02    0.62529E+04
    0.14013E-02    0.63680E+04
    0.14296E-02    0.64849E+04
    0.14585E-02    0.66038E+04
    0.14880E-02    0.67246E+04
    0.15180E-02    0.68474E+04
    0.15487E-02    0.69722E+04
    0.15800E-02    0.70989E+04
    0.16119E-02    0.72277E+04
    0.16445E-02    0.73585E+04
    0.16777E-02    0.74914E+04
    0.17116E-02    0.76264E+04
    0.17462E-02    0.77635E+04
    0.17814E-02    0.79026E+04
    0.18174E-02    0.80439E+04
    0.18541E-02    0.81874E+04
    0.18916E-02    0.83330E+04
    0.19298E-02    0.84809E+04
    0.19688E-02    0.86309E+04
    0.20086E-02    0.87831E+04
    0.20491E-02    0.89375E+04
    0.20905E-02    0.90942E+04
    0.21328E-02    0.92532E+04
    0.21758E-02    0.94144E+04
    0.22198E-02    0.95778E+04
    0.22646E-02    0.97436E+04
    0.23104E-02    0.99116E+04
    0.23571E-02    0.10082E+05
    0.24047E-02    0.10255E+05
    0.24533E-02    0.10430E+05
    0.25028E-02    0.10607E+05
    0.25534E-02    0.10786E+05
    0.26050E-02    0.10968E+05
